month,coin_name,symbol,open,high,low,close,volume,market_cap,monthly_return,log_return,cumulative_return,ma_20,ma_50,ma_200,rsi_14,macd,macd_signal,volatility_30d,max_drawdown,ath_price,atl_price,drawdown_from_ath,news_sentiment,news_count,news_impact_score,signal
2022-11,Bitcoin,BTC,17244.77,20526.48,16180.38,19250.48,15141134354,1.15,0.1163,0.11,-0.2849,18287.96,17325.43,16362.91,39,4.836,-1.94,0.54,-0.29,27859.07,14920.9,0.309,Positive,11,0.025,Profit
2022-12,Bitcoin,BTC,19250.48,20878.25,13206.41,13924.2,35305958169,2.35,-0.2767,-0.3239,-0.5616,13227.99,12531.78,11835.57,33,-4.345,-3.957,0.73,0,27859.07,13924.2,0.5,Positive,27,-0.054,Loss
2023-01,Bitcoin,BTC,13924.2,14964.38,13181.43,14107.3,17239262487,2.35,0.0131,0.0131,-0.5484,13401.93,12696.57,11991.2,64,-1.935,1.322,0.27,-0.013,27859.07,13924.2,0.494,Positive,18,-0.019,Profit
2023-02,Bitcoin,BTC,14107.3,15139.81,11625.76,12790.02,14091188291,9.57,-0.0934,-0.098,-0.6418,12150.52,11511.01,10871.51,31,0.656,-3.321,0.55,0,27859.07,12790.02,0.541,Positive,17,-0.01,Loss
2023-03,Bitcoin,BTC,12790.02,13994.91,11050.04,12011.66,21870917164,1.07,-0.0609,-0.0628,-0.7027,11411.08,10810.49,10209.91,65,1.164,3.396,0.25,0,27859.07,12011.66,0.569,Positive,17,-0.01,Loss
2023-04,Bitcoin,BTC,12011.66,14959.84,11100.15,14128.63,24597967952,9.85,0.1762,0.1623,-0.5264,13422.2,12715.77,12009.33,54,-1.293,3.377,0.71,-0.176,27859.07,12011.66,0.493,Positive,25,0.01,Profit
2023-05,Bitcoin,BTC,14128.63,15049.83,12635.41,13355.44,46820360146,1.30,-0.0547,-0.0563,-0.5812,12687.67,12019.9,11352.13,56,0.924,-0.268,0.6,-0.112,27859.07,12011.66,0.521,Negative,11,-0.038,Loss
2023-06,Bitcoin,BTC,13355.44,18694.61,12338.18,17782.06,17189438302,1.04,0.3314,0.2863,-0.2497,16892.96,16003.86,15114.75,69,4.205,-1.568,0.5,-0.48,27859.07,12011.66,0.362,Positive,14,0.014,Profit
2023-07,Bitcoin,BTC,17782.06,18627.23,15326.17,16557.41,23854890640,2.31,-0.0689,-0.0714,-0.3186,15729.54,14901.67,14073.8,46,-3.131,-0.662,0.79,-0.378,27859.07,12011.66,0.406,Negative,20,0.049,Loss
2023-08,Bitcoin,BTC,16557.41,17201.96,13185.74,14543.3,11746937318,2.18,-0.1216,-0.1297,-0.4402,13816.14,13088.97,12361.81,44,-2.583,-3.236,0.34,-0.211,27859.07,12011.66,0.478,Positive,10,0.02,Loss
2023-09,Bitcoin,BTC,14543.3,16169.85,13624.74,14720.66,22806505585,2.33,0.0122,0.0121,-0.428,13984.62,13248.59,12512.56,49,-0.381,3.704,0.41,-0.226,27859.07,12011.66,0.472,Negative,8,-0.079,Profit
2023-10,Bitcoin,BTC,14720.66,15987.81,13485.48,14750.08,2310453150,2.40,0.002,0.002,-0.426,14012.57,13275.07,12537.56,61,-3.09,3.74,0.59,-0.228,27859.07,12011.66,0.471,Negative,6,-0.009,Profit
2023-11,Bitcoin,BTC,14750.08,15462.38,13283.29,15079.42,32355881765,1.84,0.0223,0.0221,-0.4037,14325.45,13571.48,12817.51,66,-1.377,-3.952,0.42,-0.255,27859.07,12011.66,0.459,Positive,5,0.012,Profit
2023-12,Bitcoin,BTC,15079.42,16025.07,11052.56,11429.28,38158521876,9.06,-0.2421,-0.2772,-0.6458,10857.82,10286.36,9714.89,61,-0.23,3.031,0.68,0,27859.07,11429.28,0.59,Negative,10,0.021,Loss
2024-01,Bitcoin,BTC,11429.28,14302.36,10877.94,13171.95,24003663039,1.38,0.1525,0.1419,-0.4933,12513.36,11854.76,11196.16,32,-3.512,3.52,0.7,-0.152,27859.07,11429.28,0.527,Positive,26,0.028,Profit
2024-02,Bitcoin,BTC,13171.95,14326.93,11520.03,11875.26,3432440722,1.26,-0.0984,-0.1036,-0.5917,11281.5,10687.74,10093.97,69,-2.745,3.001,0.42,-0.039,27859.07,11429.28,0.574,Positive,9,-0.077,Loss
2024-03,Bitcoin,BTC,11875.26,16906.69,11094.21,16287.17,20125871311,2.58,0.3715,0.3159,-0.2202,15472.81,14658.46,13844.1,38,0.875,3.586,0.53,-0.425,27859.07,11429.28,0.415,Positive,29,-0.068,Profit
2024-04,Bitcoin,BTC,16287.17,21171.49,15956.83,19972.26,29805062351,2.93,0.2263,0.204,0.006,18973.64,17975.03,16976.42,54,-1.276,2.857,0.22,-0.747,27859.07,11429.28,0.283,Negative,17,0.068,Profit
2024-05,Bitcoin,BTC,19972.26,23024.79,18602.11,21078.45,34979157010,1.56,0.0554,0.0539,0.0614,20024.53,18970.6,17916.68,50,-0.977,-3.168,0.48,-0.844,27859.07,11429.28,0.243,Positive,5,-0.026,Profit
2024-06,Bitcoin,BTC,21078.45,24901.5,20154.89,23232.36,32509338360,4.58,0.1022,0.0973,0.1636,22070.74,20909.12,19747.5,46,-0.841,2.17,0.64,-1.033,27859.07,11429.28,0.166,Positive,15,-0.003,Profit
2024-07,Bitcoin,BTC,23232.36,26670.94,21429.75,24539.6,44345609242,4.67,0.0563,0.0547,0.2199,23312.62,22085.64,20858.66,58,-4.276,1.435,0.63,-1.147,27859.07,11429.28,0.119,Positive,13,0.039,Profit
2024-08,Bitcoin,BTC,24539.6,26115,11718.52,12471.77,24806955528,2.01,-0.4918,-0.6768,-0.2719,11848.19,11224.6,10601.01,42,-4.156,3.844,0.27,-0.091,27859.07,11429.28,0.552,Positive,17,0.021,Loss
2024-09,Bitcoin,BTC,12471.77,13458.13,12040.25,12749.29,18765312942,1.23,0.0223,0.022,-0.2496,12111.82,11474.36,10836.9,41,4.537,1.263,0.66,-0.115,27859.07,11429.28,0.542,Positive,12,0.045,Profit
2024-10,Bitcoin,BTC,12749.29,13706.38,10680.39,11083.2,26795693352,1.30,-0.1307,-0.14,-0.3803,10529.04,9974.88,9420.72,67,-0.705,-2.967,0.42,0,27859.07,11083.2,0.602,Positive,12,-0.075,Loss
2024-11,Bitcoin,BTC,11083.2,12854.64,10234.82,12536.19,19057172932,2.25,0.1311,0.1232,-0.2492,11909.38,11282.57,10655.76,46,4.097,-3.653,0.62,-0.131,27859.07,11083.2,0.55,Positive,16,-0.007,Profit
2024-12,Bitcoin,BTC,12536.19,15204.59,11839.95,14361.42,12242763981,2.72,0.1456,0.1359,-0.1036,13643.35,12925.28,12207.21,53,-2.939,-2.679,0.42,-0.296,27859.07,11083.2,0.484,Negative,12,-0.006,Profit
2022-01,Ethereum,ETH,34534.27,37850.26,23240.98,25407.68,49999822156,3.63,-0.2643,-0.3069,-0.2643,24137.3,22866.91,21596.53,60,1.521,-3.539,0.43,0,34534.27,25407.68,0.264,Negative,15,0.059,Loss
2022-02,Ethereum,ETH,25407.68,28314.98,24623.39,26250.19,15915388014,2.86,0.0332,0.0326,-0.2311,24937.68,23625.17,22312.66,35,-0.583,-0.612,0.42,-0.033,34534.27,25407.68,0.24,Positive,18,0.073,Profit
2022-03,Ethereum,ETH,26250.19,26818.4,22840.23,25194.61,43532250967,2.95,-0.0402,-0.041,-0.2713,23934.88,22675.15,21415.42,37,-0.897,1.294,0.77,0,34534.27,25194.61,0.27,Negative,6,-0.036,Loss
2022-04,Ethereum,ETH,25194.61,29362.5,24664.19,28243.76,28466738482,3.90,0.121,0.1142,-0.1503,26831.57,25419.38,24007.19,51,-1.249,0.343,0.72,-0.121,34534.27,25194.61,0.182,Negative,24,0.034,Profit
2022-05,Ethereum,ETH,28243.76,30558.8,22944.39,23672.78,42405435501,3.03,-0.1618,-0.1765,-0.3121,22489.14,21305.5,20121.86,33,4.989,-3.675,0.59,0,34534.27,23672.78,0.315,Positive,14,0.018,Loss
2022-06,Ethereum,ETH,23672.78,27213.46,21759.62,26599.12,4146498247,4.85,0.1236,0.1166,-0.1885,25269.17,23939.21,22609.26,45,0.359,-2.357,0.54,-0.124,34534.27,23672.78,0.23,Positive,22,-0.064,Profit
2022-07,Ethereum,ETH,26599.12,29506.39,24983.33,28804.48,9506600801,3.00,0.0829,0.0797,-0.1056,27364.25,25924.03,24483.81,52,4.195,-0.676,0.65,-0.217,34534.27,23672.78,0.166,Negative,13,-0.05,Profit
2022-08,Ethereum,ETH,28804.48,41142.74,27324.38,39673.75,43889863171,4.62,0.3773,0.3202,0.2717,37690.07,35706.38,33722.69,65,2.813,3.031,0.72,-0.676,39673.75,23672.78,0,Positive,28,-0.06,Profit
2022-09,Ethereum,ETH,39673.75,43579.45,27888.25,30554.81,49952164844,5.59,-0.2298,-0.2612,0.0419,29027.07,27499.33,25971.59,40,0.588,-2.086,0.66,-0.291,39673.75,23672.78,0.23,Positive,13,0.028,Loss
2022-10,Ethereum,ETH,30554.81,33178.58,26866.99,27653.1,33310575121,4.52,-0.095,-0.0998,-0.0531,26270.44,24887.79,23505.13,63,3.985,2.922,0.71,-0.168,39673.75,23672.78,0.303,Positive,24,-0.009,Loss
2022-11,Ethereum,ETH,27653.1,28824.49,25186.84,27235.84,49307701182,3.18,-0.0151,-0.0152,-0.0682,25874.05,24512.26,23150.46,51,0.377,1.734,0.42,-0.151,39673.75,23672.78,0.314,Positive,21,-0.075,Loss
2022-12,Ethereum,ETH,27235.84,33490.39,25322.97,30900.37,6087695186,9.82,0.1345,0.1262,0.0664,29355.35,27810.33,26265.31,30,-3.242,0.083,0.65,-0.305,39673.75,23672.78,0.221,Positive,23,0.007,Profit
2023-01,Ethereum,ETH,30900.37,33751.59,29667.75,32118.08,11123491876,4.04,0.0394,0.0387,0.1058,30512.18,28906.27,27300.37,59,3.758,0.166,0.22,-0.357,39673.75,23672.78,0.19,Positive,18,-0.074,Profit
2023-02,Ethereum,ETH,32118.08,33129.42,24446.31,26677.87,31641150941,2.42,-0.1694,-0.1856,-0.0636,25343.98,24010.08,22676.19,32,3.068,-0.365,0.71,-0.127,39673.75,23672.78,0.328,Positive,11,0.024,Loss
2023-03,Ethereum,ETH,26677.87,33554.25,24356.75,30663.72,21029119383,4.05,0.1494,0.1392,0.0858,29130.54,27597.35,26064.16,43,-0.167,-0.477,0.67,-0.295,39673.75,23672.78,0.227,Positive,24,0.016,Profit
2023-04,Ethereum,ETH,30663.72,37682.95,29783.71,36934.8,3688247982,5.74,0.2045,0.1861,0.2903,35088.06,33241.32,31394.58,48,2.745,-1.186,0.66,-0.56,39673.75,23672.78,0.069,Positive,21,-0.004,Profit
2023-05,Ethereum,ETH,36934.8,44768.55,35681.25,41928.16,5045030107,7.81,0.1352,0.1268,0.4255,39831.75,37735.34,35638.93,35,4.878,2.303,0.46,-0.771,41928.16,23672.78,0,Positive,9,-0.053,Profit
2023-06,Ethereum,ETH,41928.16,56620.84,40273.57,54973.85,45580916338,3.97,0.3111,0.2709,0.7367,52225.16,49476.47,46727.77,64,1.677,-2.713,0.51,-1.322,54973.85,23672.78,0,Positive,24,0.025,Profit
2023-07,Ethereum,ETH,54973.85,74393.22,52014.68,71380.47,49086494500,1.11,0.2984,0.2612,1.0351,67811.45,64242.42,60673.4,36,4.448,0.971,0.21,-2.015,71380.47,23672.78,0,Positive,21,-0.024,Profit
2023-08,Ethereum,ETH,71380.47,81311.89,65377.22,78331.92,4961479804,8.93,0.0974,0.0929,1.1325,74415.33,70498.73,66582.13,45,-3.83,-3.074,0.77,-2.309,78331.92,23672.78,0,Positive,32,-0.007,Profit
2023-09,Ethereum,ETH,78331.92,81196.05,69223.54,74630.05,4555952036,2.05,-0.0473,-0.0484,1.0852,70898.55,67167.05,63435.54,64,0.894,0.701,0.78,-2.153,78331.92,23672.78,0.047,Negative,21,0.05,Loss
2023-10,Ethereum,ETH,74630.05,86607.05,69645.34,80743.96,1962129800,6.01,0.0819,0.0787,1.1671,76706.76,72669.56,68632.36,61,2.923,0.554,0.41,-2.411,80743.96,23672.78,0,Positive,27,-0.063,Profit
2023-11,Ethereum,ETH,80743.96,86939.09,65108.48,67487.06,23610116500,5.77,-0.1642,-0.1793,1.003,64112.71,60738.36,57364,61,-0.564,-3.223,0.32,-1.851,80743.96,23672.78,0.164,Negative,13,-0.025,Loss
2023-12,Ethereum,ETH,67487.06,73934.72,63523.04,70973.74,13328147441,8.18,0.0517,0.0504,1.0546,67425.06,63876.37,60327.68,38,0.271,0.751,0.54,-1.998,80743.96,23672.78,0.121,Positive,16,-0.008,Profit
2024-01,Ethereum,ETH,70973.74,74232.02,64257.42,69356.65,33745474844,7.89,-0.0228,-0.023,1.0318,65888.82,62420.99,58953.15,30,4.43,2.885,0.62,-1.93,80743.96,23672.78,0.141,Positive,11,0.021,Loss
2024-02,Ethereum,ETH,69356.65,79687.8,64990.11,75441.78,10174943414,1.40,0.0877,0.0841,1.1196,71669.69,67897.6,64125.51,46,-2.388,-1.313,0.68,-2.187,80743.96,23672.78,0.066,Negative,18,-0.076,Profit
2024-03,Ethereum,ETH,75441.78,80204.68,52999.48,57620.71,14617028376,6.04,-0.2362,-0.2695,0.8834,54739.67,51858.63,48977.6,45,-1.053,2.745,0.78,-1.434,80743.96,23672.78,0.286,Positive,14,0.062,Loss
2024-04,Ethereum,ETH,57620.71,58967.97,55025.12,56213.14,42372694267,2.87,-0.0244,-0.0247,0.8589,53402.48,50591.82,47781.17,34,4.154,2.036,0.35,-1.375,80743.96,23672.78,0.304,Negative,26,0.006,Loss
2024-05,Ethereum,ETH,56213.14,60294.93,42761.73,44820.69,32915367910,3.72,-0.2027,-0.2265,0.6563,42579.66,40338.62,38097.59,42,4.905,1.395,0.59,-0.893,80743.96,23672.78,0.445,Positive,21,0.054,Loss
2024-06,Ethereum,ETH,44820.69,47073.64,38017.71,40512.6,6255234469,7.09,-0.0961,-0.1011,0.5601,38486.97,36461.34,34435.71,50,3.518,2.621,0.41,-0.711,80743.96,23672.78,0.498,Positive,13,-0.074,Loss
2024-07,Ethereum,ETH,40512.6,44524.76,34392.36,37662.5,45268763659,6.63,-0.0704,-0.0729,0.4898,35779.37,33896.25,32013.12,44,2.573,1.798,0.2,-0.591,80743.96,23672.78,0.534,Positive,15,0.002,Loss
2024-08,Ethereum,ETH,37662.5,41245.65,35203.86,36270.51,8236271910,5.52,-0.037,-0.0377,0.4528,34456.98,32643.46,30829.93,31,-1.461,-0.421,0.77,-0.532,80743.96,23672.78,0.551,Negative,26,-0.067,Loss
2024-09,Ethereum,ETH,36270.51,44550.73,33523.26,40953.92,23445096057,3.58,0.1291,0.1214,0.582,38906.22,36858.53,34810.83,43,2.857,-3.275,0.22,-0.73,80743.96,23672.78,0.493,Negative,18,0.056,Profit
2024-10,Ethereum,ETH,40953.92,58860.51,37158.77,56297.63,19127900373,1.12,0.3747,0.3182,0.9566,53482.75,50667.87,47852.99,33,3.285,-1.062,0.25,-1.378,80743.96,23672.78,0.303,Negative,10,0.042,Profit
2024-11,Ethereum,ETH,56297.63,66510.43,53964.74,60565.21,22568376315,1.14,0.0758,0.0731,1.0324,57536.95,54508.69,51480.43,30,4.182,-1.508,0.77,-1.558,80743.96,23672.78,0.25,Negative,14,-0.067,Profit
2024-12,Ethereum,ETH,60565.21,64214.86,56105,58928.34,21179531570,6.26,-0.027,-0.0274,1.0054,55981.92,53035.51,50089.09,55,-0.071,2.013,0.48,-1.489,80743.96,23672.78,0.27,Positive,24,-0.043,Loss
2022-01,BNB,BNB,23502.02,26933.62,22581.17,25090.13,2012859256,4.08,0.0676,0.0654,0.0676,23835.62,22581.11,21326.61,48,-4.109,3.616,0.52,-0.068,25090.13,23502.02,0,Negative,12,-0.007,Profit
2022-02,BNB,BNB,25090.13,27548.27,23775.29,25801.21,19399625294,3.87,0.0283,0.0279,0.0959,24511.15,23221.09,21931.03,32,-2.037,0.882,0.31,-0.098,25801.21,23502.02,0,Positive,23,0.059,Profit
2022-03,BNB,BNB,25801.21,33227.64,23939.58,30613.79,42316945763,8.17,0.1865,0.171,0.2824,29083.1,27552.41,26021.72,64,-3.255,-0.975,0.54,-0.303,30613.79,23502.02,0,Positive,24,0.065,Profit
2022-04,BNB,BNB,30613.79,32694.9,26992.63,28478.13,17764020665,2.53,-0.0698,-0.0723,0.2127,27054.22,25630.32,24206.41,60,1.626,0.463,0.41,-0.212,30613.79,23502.02,0.07,Negative,26,0.06,Loss
2022-05,BNB,BNB,28478.13,29233.56,26119.08,26829.97,48048506947,4.39,-0.0579,-0.0596,0.1548,25488.47,24146.97,22805.47,51,-2.319,-2.444,0.78,-0.142,30613.79,23502.02,0.124,Positive,29,-0.07,Loss
2022-06,BNB,BNB,26829.97,27608.12,23381.66,25353.48,18948587147,1.71,-0.055,-0.0566,0.0998,24085.81,22818.13,21550.46,52,-0.417,2.964,0.62,-0.079,30613.79,23502.02,0.172,Positive,23,0.057,Loss
2022-07,BNB,BNB,25353.48,28555.3,23834.93,26897.77,39091126781,4.03,0.0609,0.0591,0.1607,25552.88,24207.99,22863.1,46,-1.089,-2.562,0.42,-0.144,30613.79,23502.02,0.121,Positive,6,-0.077,Profit
2022-08,BNB,BNB,26897.77,30214.23,25694.34,29151.81,35427364493,1.55,0.0838,0.0805,0.2445,27694.22,26236.63,24779.04,46,1.416,3.4,0.74,-0.24,30613.79,23502.02,0.048,Positive,24,0.064,Profit
2022-09,BNB,BNB,29151.81,33902.85,26245.51,31659,24283360938,5.71,0.086,0.0825,0.3305,30076.05,28493.1,26910.15,66,0.811,-1.085,0.25,-0.347,31659,23502.02,0,Positive,19,0.048,Profit
2022-10,BNB,BNB,31659,35427.94,28772.81,34419.79,2073545537,5.83,0.0872,0.0836,0.4177,32698.8,30977.81,29256.82,69,-4.203,-0.457,0.47,-0.465,34419.79,23502.02,0,Positive,4,0.054,Profit
2022-11,BNB,BNB,34419.79,37586.18,31025.69,33081.77,46058459125,4.54,-0.0389,-0.0396,0.3788,31427.68,29773.59,28119.5,32,0.182,0.986,0.35,-0.408,34419.79,23502.02,0.039,Negative,19,0,Loss
2022-12,BNB,BNB,33081.77,40644.01,30846.44,38319.01,32802250893,7.55,0.1583,0.147,0.5371,36403.06,34487.11,32571.16,55,0.151,0.719,0.58,-0.63,38319.01,23502.02,0,Negative,13,-0.074,Profit
2023-01,BNB,BNB,38319.01,41132.21,26401.91,27695.42,27142614768,3.35,-0.2772,-0.3247,0.2599,26310.65,24925.88,23541.11,55,0.387,-2.832,0.58,-0.178,38319.01,23502.02,0.277,Positive,21,0.078,Loss
2023-02,BNB,BNB,27695.42,28835.14,21632.08,23392.95,4623448910,2.18,-0.1553,-0.1688,0.1045,22223.3,21053.65,19884.01,59,1.219,1.252,0.54,0,38319.01,23392.95,0.39,Negative,14,-0.079,Loss
2023-03,BNB,BNB,23392.95,25179.3,20957.07,22885.76,9906806189,2.96,-0.0217,-0.0219,0.0829,21741.48,20597.19,19452.9,42,-0.244,-3.911,0.43,0,38319.01,22885.76,0.403,Negative,19,0.049,Loss
2023-04,BNB,BNB,22885.76,24525.85,17003,18658.23,33162264963,1.65,-0.1847,-0.2042,-0.1019,17725.32,16792.41,15859.49,53,3.49,2.627,0.44,0,38319.01,18658.23,0.513,Positive,20,-0.016,Loss
2023-05,BNB,BNB,18658.23,19626.2,16552.09,18361.81,30790666701,1.13,-0.0159,-0.016,-0.1178,17443.72,16525.63,15607.54,64,-2.23,-3.997,0.56,0,38319.01,18361.81,0.521,Negative,24,-0.012,Loss
2023-06,BNB,BNB,18361.81,23502.11,17539.87,22770.23,30552358874,1.08,0.2401,0.2152,0.1223,21631.72,20493.2,19354.69,60,-3.496,1.584,0.2,-0.24,38319.01,18361.81,0.406,Negative,15,-0.029,Profit
2023-07,BNB,BNB,22770.23,24582.04,21070.17,21578.1,49923464404,1.81,-0.0524,-0.0538,0.07,20499.19,19420.29,18341.38,51,4.987,-3.815,0.51,-0.175,38319.01,18361.81,0.437,Positive,26,-0.069,Loss
2023-08,BNB,BNB,21578.1,26968.68,20475.02,25504.65,47330744788,2.62,0.182,0.1672,0.2519,24229.42,22954.19,21678.95,63,-3.908,-3.878,0.75,-0.389,38319.01,18361.81,0.334,Positive,21,0.046,Profit
2023-09,BNB,BNB,25504.65,28038.39,20615.42,22641.44,33318897363,1.76,-0.1123,-0.1191,0.1397,21509.37,20377.3,19245.22,42,0.845,-3.467,0.33,-0.233,38319.01,18361.81,0.409,Positive,26,-0.05,Loss
2023-10,BNB,BNB,22641.44,28441.99,21285.54,25953.68,28988653939,4.90,0.1463,0.1365,0.286,24655.99,23358.31,22060.63,60,1.261,-0.397,0.7,-0.413,38319.01,18361.81,0.323,Positive,29,-0.049,Profit
2023-11,BNB,BNB,25953.68,35296.12,23685.08,33074.14,27227342066,6.01,0.2744,0.2424,0.5603,31420.44,29766.73,28113.02,31,2.56,2.339,0.78,-0.801,38319.01,18361.81,0.137,Positive,28,-0.01,Profit
2023-12,BNB,BNB,33074.14,34181.18,26719.85,27570.38,44658338299,8.05,-0.1664,-0.182,0.3939,26191.86,24813.34,23434.82,59,-1.087,1.755,0.42,-0.502,38319.01,18361.81,0.281,Positive,20,0.058,Loss
2024-01,BNB,BNB,27570.38,30711.79,25442.45,28499.89,43444864478,4.05,0.0337,0.0332,0.4276,27074.9,25649.9,24224.91,46,-3.769,-3.923,0.21,-0.552,38319.01,18361.81,0.256,Positive,29,-0.015,Profit
2024-02,BNB,BNB,28499.89,29096.12,24629.7,26922.43,43392332880,1.03,-0.0553,-0.0569,0.3723,25576.31,24230.19,22884.07,41,-3.844,0.004,0.76,-0.466,38319.01,18361.81,0.297,Positive,27,0.076,Loss
2024-03,BNB,BNB,26922.43,30479.59,25540.27,28095.16,2666102945,5.27,0.0436,0.0426,0.4158,26690.4,25285.65,23880.89,32,-1.916,-2.339,0.61,-0.53,38319.01,18361.81,0.267,Positive,20,0.053,Profit
2024-04,BNB,BNB,28095.16,32083.52,26338.97,30331.58,45144270854,2.36,0.0796,0.0766,0.4954,28815.01,27298.43,25781.85,52,3.658,-3.143,0.38,-0.652,38319.01,18361.81,0.208,Negative,20,0.034,Profit
2024-05,BNB,BNB,30331.58,31514.65,22805.57,24281.4,30523540895,4.38,-0.1995,-0.2225,0.296,23067.33,21853.26,20639.19,38,-2.046,-3.06,0.24,-0.322,38319.01,18361.81,0.366,Negative,23,-0.001,Loss
2024-06,BNB,BNB,24281.4,26069.56,23601.42,25149.09,17432183179,1.53,0.0357,0.0351,0.3317,23891.63,22634.18,21376.72,34,1.619,-1.715,0.79,-0.37,38319.01,18361.81,0.344,Negative,10,-0.017,Profit
2024-07,BNB,BNB,25149.09,27458.33,16152.08,17608.48,45028807304,5.92,-0.2998,-0.3564,0.0319,16728.06,15847.63,14967.21,46,-4.427,-1.42,0.6,0,38319.01,17608.48,0.54,Negative,19,-0.049,Loss
2024-08,BNB,BNB,17608.48,19124.32,15909.5,17713.93,24014411735,3.07,0.006,0.006,0.0379,16828.24,15942.54,15056.84,58,4.241,2.208,0.35,-0.006,38319.01,17608.48,0.538,Positive,9,-0.037,Profit
2024-09,BNB,BNB,17713.93,20696.61,16662.27,19697.48,26461662906,2.83,0.112,0.1061,0.1498,18712.61,17727.74,16742.86,35,2.531,2.911,0.71,-0.119,38319.01,17608.48,0.486,Negative,19,-0.03,Profit
2024-10,BNB,BNB,19697.48,23054.5,18779.14,21340.53,46857637399,3.33,0.0834,0.0801,0.2333,20273.51,19206.48,18139.45,47,-4.638,0.893,0.33,-0.212,38319.01,17608.48,0.443,Positive,23,0.076,Profit
2024-11,BNB,BNB,21340.53,25715.32,20352.38,23810.14,17327544313,3.19,0.1157,0.1095,0.349,22619.63,21429.13,20238.62,60,-4.459,-0.633,0.43,-0.352,38319.01,17608.48,0.379,Positive,26,-0.05,Profit
2024-12,BNB,BNB,23810.14,24613.11,21872.82,22607.45,26539044556,1.82,-0.0505,-0.0518,0.2985,21477.08,20346.71,19216.34,43,-4.08,3.199,0.4,-0.284,38319.01,17608.48,0.41,Positive,17,0.025,Loss
2022-01,XRP,XRP,10868.69,11804.23,10471.06,11356.49,3347729530,2.08,0.0449,0.0439,0.0449,10788.66,10220.84,9653.01,62,0.434,-3.91,0.65,-0.045,11356.49,10868.69,0,Negative,21,0.068,Profit
2022-02,XRP,XRP,11356.49,12472.78,10401.64,11272.99,14322610587,6.88,-0.0074,-0.0074,0.0375,10709.34,10145.69,9582.04,34,0.428,-2.78,0.49,-0.037,11356.49,10868.69,0.007,Positive,16,0.08,Loss
2022-03,XRP,XRP,11272.99,13411.54,10973.86,12800.14,28525165546,1.28,0.1355,0.127,0.173,12160.13,11520.12,10880.12,30,1.122,-3.946,0.35,-0.178,12800.14,10868.69,0,Positive,20,0.058,Profit
2022-04,XRP,XRP,12800.14,13640.45,11705.21,12077.82,1952579801,1.91,-0.0564,-0.0581,0.1166,11473.92,10870.03,10266.14,54,2.945,3.627,0.39,-0.111,12800.14,10868.69,0.056,Positive,11,0.022,Loss
